,rent_type_合租,rent_type_整租,rent_type_nan,floor,独立卫生间,电视,is_broker,阳台,area,沙发,facilities_null,热水器,衣柜,price,独立阳台,床,crawl_time,独卫,toilet_num,room_num,floor_total,decoration
293,1,0,0,2,1,1,1,1,30,1,0,1,1,2000,0,1,280,0,1,2,26,3
294,0,1,0,2,1,1,1,1,75,1,0,1,1,6600,0,1,281,0,1,2,21,3
295,1,0,0,1,1,1,1,1,24,1,0,1,1,1900,0,1,292,0,3,3,22,4
296,0,1,0,2,1,1,0,1,59,1,0,1,1,6600,0,1,295,0,1,2,6,3
297,0,1,0,3,0,1,1,0,62,0,0,1,0,6000,0,1,280,0,1,2,6,4
298,1,0,0,3,1,1,1,1,10,1,0,1,1,2860,0,1,315,0,1,3,6,4
299,0,1,0,2,1,1,1,1,100,1,0,1,1,4500,0,1,293,0,1,2,7,3
300,1,0,0,1,1,1,0,1,22,1,0,1,1,1800,0,1,297,0,1,3,30,4
301,0,1,0,2,0,1,1,0,45,1,0,1,1,4600,1,1,85,1,1,1,6,3
302,0,1,0,2,1,1,1,1,86,1,0,1,1,2700,0,1,322,0,1,2,14,3
303,0,1,0,2,1,1,1,1,87,1,0,1,1,2800,0,1,282,0,1,2,18,3
304,0,1,0,3,1,1,1,1,83,1,0,1,1,3000,0,1,317,0,1,2,28,3
305,1,0,0,3,1,1,1,1,14,1,0,1,1,1560,0,1,323,0,1,2,26,4
306,0,1,0,3,0,1,0,0,83,1,0,1,1,200,1,1,61,1,1,2,26,2
307,1,0,0,2,0,1,1,0,20,1,0,1,1,1300,0,1,85,0,1,2,6,3
308,0,1,0,2,1,1,1,1,60,1,0,1,1,6000,0,1,279,0,1,1,20,3
309,0,1,0,2,1,1,0,1,75,1,0,1,1,4200,0,1,264,0,1,2,33,3
310,0,1,0,1,0,1,1,0,115,0,0,1,0,4500,0,1,295,0,1,3,6,4
311,1,0,0,3,1,1,0,1,26,1,0,1,1,1600,0,1,298,0,1,2,6,4
312,0,1,0,2,1,1,1,1,98,1,0,1,1,4300,0,1,298,0,1,2,7,3
313,1,0,0,2,0,1,1,1,25,1,0,1,1,1000,0,1,320,0,1,3,6,3
314,1,0,0,1,1,1,1,1,20,1,0,1,1,1350,0,1,321,0,1,3,6,4
315,0,1,0,1,1,1,1,1,66,1,0,1,1,4800,0,1,323,0,1,2,6,4
316,0,1,0,2,1,1,1,1,64,1,0,1,1,2600,0,1,280,0,1,2,6,3
317,0,1,0,1,0,0,1,0,64,0,0,0,0,12000,0,1,268,0,1,1,17,4
318,0,1,0,2,0,0,0,0,35,0,1,0,0,900,0,0,279,0,1,1,21,3
319,1,0,0,1,0,1,1,0,16,1,0,1,1,1300,0,1,319,0,1,2,6,4
320,1,0,0,2,0,0,1,0,140,1,0,1,1,550,1,1,85,1,2,3,26,3
321,0,1,0,3,1,1,0,1,37,0,0,1,0,4100,0,1,293,0,1,1,21,4
322,0,1,0,1,1,1,0,1,69,1,0,1,1,6500,0,1,268,0,1,2,6,4
