agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
,,22.92,1,177,2,中,3800,整租,(押一付二),南北,,1,15,1985,1,2,80,1,20,20,6,20,20,20,20,20,20,125,108,64,63,2018/1/10 12:00,精,海淀,温泉,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
蛋壳公寓,fang_2242653,19.02,1,2100,17,高,1980,合租,付四,南,主,1,26,1996,1,3,19,1,20,20,15,20,20,20,20,20,20,152,89,51,51,2018/1/10 17:00,豪,海淀,五道口,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
兆龙房地产,fang_2154024,39.56,1,285,3,高,1700,合租,NULL,东,次,1,22,2013,1,3,15,1,20,20,6,20,20,20,20,20,20,132,107,64,74,2018/1/10 22:00,豪,海淀,双榆树,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网|可做饭
北京美丽家园房地产经纪有限公司,fang_190048,21.14,1,1105,15,中,2180,整租,押二付三,南,,1,28,1985,0,1,28,0,20,19,7,20,20,20,20,20,20,162,95,53,34,2018/1/11 3:00,中,海淀,西二旗,电视|空调|热水器|洗衣机|冰箱|床|暖气
博峰地产,fang_2205578,31,1.1,144,3,高,4000,整租,付三,南,,1,6,1990,1,1,50,1,20,20,4,20,20,20,20,20,20,149,79,109,55,2018/1/11 8:00,豪,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
北京嘉诚易家房地产经纪有限公司,fang_2173391,38.15,1.16,1145,9,低,2100,合租,月付,南,主,1,6,1996,1,3,24,1,20,11,6,20,20,20,20,20,20,92,92,70,41,2018/1/11 13:00,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
我爱我家,fang_2227171,20.46,1.2,445,7,中,9000,整租,半年付,南,,1,20,1990,1,1,85,1,20,20,11,20,20,20,20,20,20,210,156,75,34,2018/1/11 18:00,中,海淀,马甸,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,37.08,1.2,132,2,高,15000,整租,其他,东南,,1,20,1998,2,3,136,2,20,17,,20,20,20,20,20,20,125,126,52,35,2018/1/11 23:00,精,海淀,北大清华,床
亿成房地产,fang_577742,15.31,1.2,120,2,高,4500,整租,押三付半年,南北,,1,6,1995,1,2,79,1,20,20,14,20,20,20,20,20,20,115,127,62,75,2018/1/12 4:00,中,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,17.5,1.3,156,2,高,6850,整租,押零付一年,南北,,1,16,1999,1,2,73,1,20,20,17,20,20,20,20,20,20,66,116,62,63,2018/1/12 9:00,中,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
我爱我家,fang_1472389,39.22,1.38,416,3,中,5800,整租,,南北,,1,6,1998,1,2,86,1,20,20,9,20,20,20,20,20,20,94,52,56,98,2018/1/12 14:00,精,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
中天置地,fang_1919711,13.18,1.5,60,1,高,2550,合租,押一付一年,南,主,1,17,1981,0,0,23,0,20,20,12,20,20,20,20,20,20,83,79,89,49,2018/1/12 19:00,中,海淀,北太平庄,
,,30.73,1.5,595,5,中,4800,整租,年付,东南,,0,6,1990,1,1,62,1,20,20,6,20,20,20,20,20,20,75,128,79,100,2018/1/13 0:00,中,海淀,定慧寺,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
,,37.11,1.5,108,1,中,2100,整租,押一付十一,北,,0,6,1984,2,2,14,1,20,4,,15,11,20,20,18,12,80,68,50,63,2018/1/13 5:00,精,海淀,定慧寺,床
蛋壳公寓,fang_2248659,32.79,1.5,364,1,中,1800,合租,押二付六,南,主,1,22,1981,1,3,18,1,20,20,13,20,20,20,20,20,20,60,151,53,70,2018/1/13 10:00,中,海淀,公主坟,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
中润置家,fang_2246868,69.51,1.5,484,6,中,800,合租,,南,次,1,12,1977,1,3,13,1,20,20,12,20,20,20,20,20,20,135,61,38,63,2018/1/13 15:00,豪,海淀,公主坟,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
