,Unnamed: 0,agency_name,broker_id,score,property_fee,house_count,building_count,floor,price,rent_type,pay_type,direction,room_type,is_broker,floor_total,complete_time,hall_num,room_num,area,toilet_num, 公交, 医院, 地铁, 学校, 旅游景点, 美食, 购物, 酒店, 银行,distance1000,distance1500,distance2000,distance500,crawl_time,decoration,district,zone,facilities
162,419,安易居,fang_2207177,29.13,,4039.0,44.0,高,3430.0,合租,押零付一,南,主,1.0,24.0,2005.0,1.0,4.0,15.0,2.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,86.0,121.0,46.0,80.0,20,中,海淀,牡丹园,空调|热水器|洗衣机|床|沙发|衣柜|暖气|宽带网|可做饭|独立卫生间
163,428,安易居房地产,fang_2234989,27.91,,92.0,1.0,中,1300.0,合租,押零付三,南,主,1.0,6.0,,1.0,3.0,20.0,1.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,109.0,106.0,39.0,86.0,18,中,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
164,433,北京安易居房地产经纪有限公司,fang_2226851,33.53,,60.0,1.0,低,3300.0,合租,押一付三,南,主,1.0,12.0,,1.0,3.0,25.0,1.0,20.0,20.0,12.0,20.0,20.0,20.0,20.0,20.0,20.0,105.0,119.0,65.0,65.0,17,中,海淀,牡丹园,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|可做饭|阳台|独立卫生间
165,439,澳风国际房地产经纪（北京）有限公司,fang_2134106,59.14,,126.0,3.0,低,2300.0,合租,押零付年,南,主,1.0,6.0,1996.0,1.0,3.0,20.0,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,151.0,65.0,39.0,67.0,16,中,海淀,五道口,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
166,457,北京澳风国际房地产经纪有限公司,fang_2248679,32.22,,0.0,0.0,高,1800.0,合租,押零付一,南,主,1.0,26.0,,1.0,3.0,19.0,1.0,20.0,20.0,4.0,20.0,20.0,20.0,20.0,20.0,20.0,144.0,97.0,28.0,76.0,12,精,海淀,马连洼,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
167,480,北京澳风国际房地产经纪有限公司58分公司,fang_2233735,26.36,,1620.0,13.0,中,1400.0,合租,押零付半年,南,主,1.0,15.0,2005.0,1.0,3.0,25.0,1.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,71.0,108.0,110.0,94.0,7,精,海淀,温泉,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
168,487,北京澳风国际房地产经纪有限公司第十七分公司,fang_2186986,36.54,,208.0,3.0,中,2600.0,合租,押零付三,南,主,1.0,6.0,1990.0,1.0,3.0,28.0,1.0,20.0,20.0,4.0,20.0,20.0,20.0,20.0,20.0,20.0,92.0,99.0,65.0,128.0,6,中,海淀,蓟门桥,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
169,492,北京八方通房地产经纪有限公司,fang_2233815,13.96,,449.0,6.0,中,2300.0,合租,,南,主,1.0,15.0,1980.0,1.0,3.0,30.0,1.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,86.0,119.0,69.0,49.0,5,中,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|独立卫生间
170,498,巴乐兔,fang_2240026,9.55,,6.0,1.0,低,1800.0,合租,,南,主,1.0,15.0,,1.0,3.0,20.0,1.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,106.0,77.0,40.0,90.0,3,中,海淀,四季青,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
171,127,百安城,fang_2180976,4.57,5,646.0,2.0,低,2500.0,合租,押三付三,南北,主,1.0,22.0,2003.0,1.0,3.0,32.0,1.0,20.0,20.0,2.0,20.0,20.0,20.0,20.0,20.0,20.0,80.0,89.0,71.0,58.0,81,精,海淀,清河,热水器|洗衣机|床|衣柜|暖气|宽带网
172,220,北京百邦立家房产有限公司,fang_2171843,46.76,,9.0,3.0,中,2300.0,合租,(押一付三),南北,主,1.0,6.0,,1.0,3.0,25.0,1.0,20.0,20.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,93.0,122.0,98.0,59.0,61,精,海淀,二里庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
173,362,百发地产,fang_2058886,25.32,,16.0,4.0,低,2200.0,合租,押零付一年,南北,主,1.0,6.0,,1.0,3.0,25.0,1.0,20.0,20.0,2.0,20.0,17.0,20.0,20.0,20.0,20.0,107.0,128.0,66.0,31.0,32,中,海淀,二里庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
174,18,百分百房地产,fang_1918749,77.65,0.56,270.0,6.0,中,1800.0,合租,押三付一,西北,主,1.0,6.0,1982.0,1.0,2.0,,1.0,20.0,16.0,6.0,20.0,20.0,20.0,20.0,20.0,20.0,55.0,62.0,101.0,46.0,103,中,海淀,清河,空调|热水器|洗衣机|冰箱|床|暖气|宽带网|可做饭
175,94,北京百合盈创房地产经纪有限公司,fang_757260,29.01,2.2,594.0,4.0,中,1800.0,合租,押三付年,西南,主,1.0,6.0,,1.0,2.0,18.0,1.0,20.0,20.0,4.0,20.0,20.0,20.0,20.0,20.0,20.0,107.0,76.0,58.0,20.0,87,中,海淀,定慧寺,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
176,190,北京百佳安创房地产经纪有限公司,fang_2142294,20.34,2.35至30,1540.0,22.0,高,7000.0,合租,押三付年,西南,主,1.0,32.0,2004.0,1.0,3.0,120.0,1.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,20.0,123.0,83.0,30.0,81.0,67,中,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
177,446,百乐天城,,16.35,,516.0,8.0,低,800.0,合租,押零付一,,主,0.0,16.0,1990.0,1.0,3.0,8.0,2.0,20.0,12.0,,20.0,20.0,20.0,20.0,15.0,20.0,171.0,90.0,65.0,19.0,14,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
178,452,,fang_2208505,38.57,,72.0,1.0,中,2600.0,合租,押零付半年,南,租单,1.0,23.0,1992.0,1.0,1.0,25.0,1.0,20.0,19.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,121.0,75.0,51.0,56.0,13,精,海淀,清河,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
179,412,百目房产,,69.8,,220.0,5.0,低,2600.0,合租,押二付五,,租单,0.0,18.0,1989.0,1.0,3.0,12.0,1.0,20.0,20.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,90.0,98.0,55.0,88.0,21,中,海淀,明光桥,电视|空调|热水器|洗衣机|冰箱|床|暖气|宽带网
180,40,百顺地产,fang_2226873,28.04,1,66.0,1.0,高,5500.0,整租,押一付半年,北,,1.0,6.0,1990.0,1.0,1.0,,1.0,20.0,20.0,13.0,20.0,20.0,20.0,20.0,20.0,20.0,107.0,78.0,50.0,82.0,99,豪,海淀,牡丹园,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
181,61,百万安居,,37.11,1.5,108.0,1.0,中,2100.0,整租,押一付十一,北,,0.0,6.0,1984.0,2.0,2.0,14.0,1.0,20.0,4.0,,15.0,11.0,20.0,20.0,18.0,12.0,80.0,68.0,50.0,63.0,94,精,海淀,定慧寺,床
182,126,北京百万安居房地产经纪有限公司,fang_2228257,24.62,4.9,444.0,3.0,低,6060.0,整租,押2付5,北,,1.0,16.0,1995.0,0.0,1.0,51.0,1.0,20.0,20.0,17.0,20.0,20.0,20.0,20.0,20.0,20.0,102.0,98.0,66.0,50.0,81,豪,海淀,万柳,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
183,232,百信居,fang_2122502,42.54,,101.0,19.0,低,4500.0,整租,,北,,1.0,6.0,2002.0,0.0,1.0,41.0,1.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,111.0,104.0,69.0,30.0,59,中,海淀,马连洼,电视|空调|洗衣机|微波炉|冰箱|床|沙发|衣柜|宽带网|可做饭|阳台|独立卫生间
184,65,北京百信居房地产经纪有限公司,,24.15,1.58,761.0,4.0,高,6800.0,整租,押零付一,朝北,,1.0,6.0,2004.0,1.0,2.0,62.0,1.0,20.0,20.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,155.0,91.0,35.0,59.0,93,中,海淀,北太平庄,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
185,92,北京百兴顺业房地产经纪有限公司,fang_1781889,40.9,2.15,1881.0,1.0,低,4000.0,整租,押三付三,朝北,,1.0,6.0,2009.0,1.0,1.0,45.0,1.0,20.0,20.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,119.0,66.0,98.0,52.0,88,精,海淀,五棵松,可做饭|阳台|独立卫生间
186,54,北京百姓嘉业房地产经纪有限责任公司,fang_2227171,20.46,1.2,445.0,7.0,中,9000.0,整租,半年付,朝东,,1.0,20.0,1990.0,1.0,1.0,85.0,1.0,20.0,20.0,11.0,20.0,20.0,20.0,20.0,20.0,20.0,210.0,156.0,75.0,34.0,96,中,海淀,马甸,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
187,76,佰好家,fang_2120634,34.95,1.8,396.0,2.0,低,4700.0,整租,年付不押,朝东,,1.0,6.0,2002.0,1.0,2.0,65.0,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,91.0,119.0,99.0,100.0,91,精,海淀,上地,
188,19,北京佰好家房地产经纪有限公司,fang_2227155,42.98,0.56,228.0,3.0,高,5300.0,整租,押一付三,朝东北,,1.0,6.0,1996.0,1.0,2.0,,1.0,20.0,20.0,9.0,20.0,20.0,20.0,20.0,20.0,20.0,94.0,48.0,113.0,79.0,103,中,海淀,定慧寺,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
189,52,佰惠嘉地产,fang_2205578,31.0,1.1,144.0,3.0,高,4000.0,整租,付三,朝东北,,1.0,6.0,1990.0,1.0,1.0,50.0,1.0,20.0,20.0,4.0,20.0,20.0,20.0,20.0,20.0,20.0,149.0,79.0,109.0,55.0,96,豪,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
190,101,佰乐家,fang_1431980,24.62,2.5,781.0,5.0,低,9000.0,整租,无押付半年,朝东北,,1.0,6.0,1982.0,2.0,4.0,135.0,1.0,20.0,20.0,7.0,20.0,20.0,20.0,20.0,20.0,20.0,123.0,129.0,89.0,38.0,86,中,海淀,上地,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
191,13,北京佰信嘉业房地产经纪有限公司,fang_1734457,54.5,0.5,796.0,,高,4200.0,整租,押2付5,朝东南,,9.0,16.0,2020.0,1.0,,,,20.0,20.0,4.0,20.0,18.0,20.0,20.0,20.0,20.0,,80.0,105.0,55.0,104,普,海淀,五棵松,电视|空调|热水器|洗衣机|微波炉|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台|独立卫生间
192,68,北京柏佳恒基房地产经纪有限公司,,37.59,1.6,690.0,3.0,低,1050.0,整租,押一付半年peizhi[],朝东南,,0.0,15.0,2006.0,1.0,1.0,41.0,1.0,20.0,20.0,3.0,20.0,20.0,20.0,20.0,20.0,20.0,143.0,110.0,25.0,30.0,93,豪,海淀,军博,电视|空调|热水器|洗衣机|冰箱|床|沙发|衣柜|暖气|宽带网|可做饭|阳台
